15.03.2021	94396	30	43,47
10.04.2021	94827	30	43,77
02.05.2021	95306	31	45,54
24.05.2021	95779	30	44,07
13.06.2021	96195	30	44,37
02.07.2021	96721	34	50,96
01.08.2021	97135	30,6	48,62
25.08.2021	97633	31	46,17
07.09.2021	98159	32	49,89
22.09.2021	98779	35	54,57
01.10.2021	99318	32,01	49,9
10.10.2021	99832	30,53	50,34
21.10.2021	100476	35,5	58,89
09.11.2021	100937	30,73	50,68
30.11.2021	101451	33,4	57,75
19.12.2021	101866	27	43,71
09.01.2022	102309	31	50,81
05.02.2022	102803	35,08	61
26.02.2022	103315	34	60,15
14.03.2022	103735	29	62,9
03.04.2022	104265	33	64,32
08.04.2022	104851	32,01	69,43
11.04.2022	105279	24	49,66
12.04.2022	105835	31,03	58,62
04.05.2022	106360	32,01	63,03
22.05.2022	106885	33,2	68,03
30.05.2022	107478	33	68,61
13.06.2022	107951	28	52,61
26.06.2022	108304	23	41,15
08.07.2022	108763	29,01	50,16
15.08.2022	109733	67	114,51
30.08.2022	110161	30	53,37
18.09.2022	110608	29	53,33
10.10.2022	111101	30	56,97
25.10.2022	111550	29,2	53,11
07.11.2022	112016	31	57,01
19.11.2022	112443	29	49,27
04.12.2022	112872	30,01	49,79
19.12.2022	113361	33	52,11
16.01.2023	113824	33,6	55,41
01.02.2023	114335	34	58,11
15.02.2023	114856	33	56,07
